,ticker,security,outlook,rating,use,trust,upward_trend,outlook_date,revenue,rev_change_percent,profit ,profit_change_percent,assets,market_value,sector_y,industry_y,webscrape_date,net_income,ft_employee,div_yield,three_year,five_year,ten_year,alcohol,adult,gambling,tobacco,controversial_weapons,small_arms,military_contracting,coal,net_per_emp
39,ACN,Accenture plc,70.0,,,,yes,8/4/18,,,,,,,Technology,Information Technology Services,9/12/20,,513000.0,1.37,21.37,20.58,20.76,,,,,,,,,
40,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,,,,,,,,,,,,,Industrials,Marine Shipping,9/12/20,,2266.0,1.0,,,,,,,,,,,,
41,ADBE,Adobe Systems,86.0,,,,yes,8/4/18,9030000000.0,0.237,2590800000.0,0.529,18768700000.0,1.30E+11,Technology,Software—Infrastructure,9/12/20,,22634.0,0.0,44.3,42.87,30.78,,,,,,,,,
42,ADI,Analog Devices,78.0,,,,yes,8/4/18,6200900000.0,0.214,1495400000.0,1.056,20449800000.0,38772400000,Technology,Semiconductors,9/12/20,,16400.0,2.17,13.49,17.01,16.63,,,,,,,,,
43,ADM,Archer Daniels Midland,59.0,,,,,8/4/18,64341000000.0,0.058,1810000000.0,0.135,40833000000.0,24156700000,Consumer Defensive,Farm Products,9/12/20,,38100.0,3.13,6.05,4.54,5.81,,,,,,,,,
44,ADP,Automatic Data Processing,57.0,,,,,8/4/18,13325800000.0,0.076,1620800000.0,-0.065,37088700000.0,69587500000,Industrials,Staffing & Employment Services,9/12/20,,58000.0,2.76,9.95,13.47,15.37,,,,,,,,,
45,ADS,Alliance Data Systems,56.0,,,,,8/4/18,7791200000.0,0.009,963100000.0,0.221,30387700000.0,9273500000,Financial Services,Credit Services,9/12/20,,8500.0,1.84,-38.25,-26.69,-1.39,,,,,,,,,
46,ADSK,Autodesk,64.0,,,,yes,8/4/18,,,,,,,Technology,Software—Application,9/12/20,,10100.0,0.0,25.0,37.49,22.07,,,,,,,,,
47,ADYEY,Adyen,,,,,,,,,,,,,Technology,Software—Infrastructure,9/12/20,,1448.0,0.0,,,,,,,,,,,,
48,AEE,Ameren,67.0,,,,,8/4/18,6291000000.0,0.018,815000000.0,0.558,27215000000.0,18050600000,Utilities,Utilities—Regulated Electric,9/12/20,,9323.0,2.59,10.75,17.18,12.93,,,,,,,,,
49,AEIS,Advanced Energy Industries,63.0,,,,,8/4/18,,,,,,,Industrials,Electrical Equipment & Parts,9/12/20,,10917.0,0.0,-7.35,18.49,15.32,,,,,,,,,
50,AEO,American Eagle Outfitters,47.0,,,,,8/4/18,,,,,,,Consumer Cyclical,Apparel Retail,9/12/20,,8000.0,1.03,7.26,0.16,3.63,,,,,,,,,
51,AEP,American Electric Power,72.0,,,,,8/4/18,16195700000.0,0.05,1923800000.0,0.006,68802800000.0,41312800000,Utilities,Utilities—Regulated Electric,9/12/20,,17408.0,3.57,5.33,11.27,10.73,,,,,,,,,
52,AES,AES,50.0,,,,,8/4/18,10736000000.0,-0.225,1203000000.0,-,32521000000.0,11975400000,Utilities,Utilities—Diversified,9/12/20,,8000.0,3.3,19.46,12.79,6.64,,,,,,,,,
53,AFG,American Financial Group,74.0,3.5,,,,9/8/19,7150000000.0,0.042,530000000.0,0.116,63456000000.0,8592700000,Financial Services,Insurance—Property & Casualty,9/12/20,,7700.0,2.98,-6.81,4.53,12.16,,,,,,,,,
54,AFL,Aflac,50.0,,,,,8/4/18,21758000000.0,0.004,2920000000.0,-0.366,140000000000.0,37442500000,Financial Services,Insurance—Life,9/12/20,,11729.0,3.09,-1.36,7.25,5.83,,,,,,,,,
55,AGCO,AGCO,56.0,3.7,,,yes,9/8/19,9352000000.0,0.126,285500000.0,0.532,7626400000.0,5335400000,Industrials,Farm & Heavy Construction Machinery,9/12/20,,20961.0,0.85,3.88,10.58,7.63,,,,,,,,,
56,AGN,"Allergan, Plc",46.0,,,,,8/4/18,,,,,,,Healthcare,Drug Manufacturers - Specialty & Generic,9/12/20,,,0.0,,,,,,,,,,,,
57,AGNC,Agnc Investment,,,,,,,,,,,,,Real Estate,REIT—Mortgage,9/12/20,,51.0,10.13,-2.28,5.22,5.04,,,,,,,,,
58,AIG,"American International Group, Inc.",37.0,,,,,8/4/18,47389000000.0,-0.043,-6000000.0,-,492000000000.0,37440100000,Financial Services,Insurance—Diversified,9/12/20,,46000.0,4.55,-19.05,-10.0,1.81,,,,,,,,,
59,AIR,AAR Corp.,61.0,,,,,8/4/18,,,,,,,Industrials,Aerospace & Defense,9/12/20,,4200.0,1.66,-18.5,-3.23,2.12,,,,,,,,,
60,AIV,Apartment Investment & Mgmt (Aimco),51.0,,,,,8/4/18,,,,,,,Real Estate,REIT—Residential,9/12/20,,950.0,4.61,-4.31,3.65,7.93,,,,,,,,,
61,AIZ,Assurant,38.0,,,,,8/4/18,8057600000.0,0.256,251000000.0,-0.517,41089300000.0,5854300000,Financial Services,Insurance—Specialty,9/12/20,,13600.0,2.13,10.48,11.09,13.12,,,,,,,,,
62,AJG,Arthur J. Gallagher,52.0,,,,,8/4/18,6934000000.0,0.126,633500000.0,0.368,16334000000.0,14466100000,Financial Services,Insurance Brokers,9/12/20,,33000.0,1.77,21.2,21.22,16.42,,,,,,,,,
63,AKAM,Akamai Technologies,51.0,,,,,8/4/18,,,,,,,Technology,Software—Infrastructure,9/12/20,,7951.0,0.0,31.84,7.36,7.96,,,,,,,,,
64,AKS,AK Steel Holding,,,,,,,6818200000.0,0.121,186000000.0,29,4515700000.0,869800000,Basic Materials,Steel,9/12/20,,9500.0,0.0,,,,,,,,,,,,
65,ALB,Albemarle,66.0,,,,,8/4/18,,,,,,,Basic Materials,Specialty Chemicals,9/12/20,,6000.0,1.65,-7.14,19.33,9.95,,,,,,,,,
66,ALE,"ALLETE, Inc.",,,,,,,,,,,,,Utilities,Utilities—Diversified,9/12/20,,1332.0,4.9,-9.98,5.16,7.14,,,,,,,,,
67,ALGN,AlignTech (Invisalign),84.0,,,,yes,8/4/18,,,,,,,Healthcare,Medical Devices,9/12/20,,14530.0,0.0,19.94,41.73,33.38,,,,,,,,,
68,ALK,Alaska Air Group,70.0,,,,,8/4/18,8264000000.0,0.042,437000000.0,-0.577,10912000000.0,6937100000,Industrials,Airlines,9/12/20,,19155.0,0.0,-16.7,-10.93,15.1,,,,,,,,,
69,ALKS,Alkermes,,,,,,,,,,,,,Healthcare,Biotechnology,9/12/20,,2235.0,0.0,-30.77,-24.5,2.21,,,,,,,,,
70,ALL,Allstate,55.0,,,,,8/4/18,39815000000.0,0.034,2252000000.0,-0.294,112000000000.0,31264300000,Financial Services,Insurance—Property & Casualty,9/12/20,,45780.0,2.33,2.99,11.98,13.64,,,,,,,,,
71,ALLE,Allegion,49.0,,,,,8/4/18,,,,,,,Industrials,Security & Protection Services,9/12/20,,11000.0,1.32,7.55,10.93,,,,,,,,,,
72,ALLY,Ally Financial,54.0,3.4,,,no,9/8/19,10466000000.0,0.061,1263000000.0,0.36,179000000000.0,11025300000,Financial Services,Credit Services,9/12/20,,8700.0,3.15,4.72,4.72,,,,,,,,,,
73,ALO.PA,Alstom SA,,,,,,,,,,,,,Industrials,Specialty Industrial Machinery,9/12/20,,38879.0,0.0,,,,,,,,,,,,
74,ALV,Autoliv,56.0,3.7,,,,9/8/19,9801100000.0,-0.056,190400000.0,-0.554,6721600000.0,6413400000,Consumer Cyclical,Auto Parts,9/12/20,,58092.0,0.0,4.54,4.34,9.06,,,,,,,,,
75,ALXN,Alexion Pharmaceuticals,33.0,,,,,8/4/18,,,,,,,Healthcare,Biotechnology,9/12/20,,3082.0,0.0,-9.67,-9.33,13.26,,,,,,,,,
76,AMAT,Applied Materials,78.0,,,,no,8/4/18,17253000000.0,0.187,3313000000.0,-0.035,17773000000.0,37652900000,Technology,Semiconductor Equipment & Materials,9/12/20,,23600.0,1.6,7.91,30.24,18.82,,,,,,,,,
77,AMBA,"Ambarella, Inc.",,,,,no,,,,,,,,Technology,Semiconductor Equipment & Materials,9/12/20,,761.0,0.0,4.15,-4.8,,,,,,,,,,
78,AMCX,AMC Networks,22.0,,,,,8/4/18,,,,,,,Communication Services,Broadcasting,9/12/20,,2114.0,0.0,-28.13,-22.18,,,,,,,,,,
79,AMD,Advanced Micro Devices,52.0,,,,no,8/4/18,6475000000.0,0.215,337000000.0,6.837,4556000000.0,27601500000,Technology,Semiconductors,9/12/20,,11400.0,0.0,82.54,106.97,29.38,,,,,,,,,
80,AME,Ametek,25.0,,,,,8/4/18,,,,,,,Industrials,Specialty Industrial Machinery,9/12/20,,18100.0,0.73,16.46,14.0,17.87,,,,,,,,,
81,AMG,Affiliated Managers Group,57.0,,,,,8/4/18,,,,,,,Financial Services,Asset Management,9/12/20,,4000.0,0.06,-26.79,-16.81,-0.38,,,,,,,,,
82,AMGN,Amgen,59.0,,,,,8/4/18,23747000000.0,0.039,8394000000.0,3.242,66416000000.0,1.18E+11,Healthcare,Drug Manufacturers - Major,9/12/20,,21500.0,2.66,11.75,11.87,17.69,,,,,,,,,
83,AMID,American Midstream Partners LP,18.0,,,,,8/4/18,,,,,,,Basic Materials,Oil & Gas Pipelines,9/12/20,,,,,,,,,,,,,,,
84,AMP,Ameriprise Financial,66.0,3.7,,,maybe,9/8/19,12924000000.0,0.07,2098000000.0,0.418,137000000000.0,17345100000,Financial Services,Asset Management,9/12/20,,12500.0,2.77,6.15,9.06,14.19,,,,,,,,,
85,AMRK,A-Mark Precious Metals,,,,,,,7606200000.0,0.088,-3400000.0,-1.479,743000000.0,83700000,Financial Services,Capital Markets,9/12/20,,184.0,0.0,22.8,25.75,,,,,,,,,,
86,AMT,American Tower,57.0,,,,,8/4/18,7440100000.0,0.116,1236400000.0,-0.002,33010400000.0,86930000000,Real Estate,REIT—Specialty,9/12/20,,5454.0,1.67,21.2,24.28,18.56,,,,,,,,,
87,AMTD,TD Ameritrade Holding,57.0,,,,maybe,8/4/18,,,,,,,Financial Services,Capital Markets,9/12/20,,9056.0,3.31,-1.79,4.81,11.52,,,,,,,,,
88,AMZN,Amazon.com,71.0,3.8,,,yes,9/8/19,233000000000.0,0.309,10073000000.0,2.321,163000000000.0,8.75E+11,Consumer Cyclical,Internet Retail,9/12/20,,798000.0,0.0,47.15,42.55,36.14,,,,,,,,,
